tengu_bash_tool_command_executed	command_type,dangerously_disable_sandbox,destructive_category,destructive_target_scope,executor_shell,executor_shell_overridden,exit_code,filesystem_policy,git_destructive_target,had_sandbox_violation,interrupted,permission_mode,sandbox_enabled,sandboxed,stderr_length,stdout_length,tool_use_id,was_backgrounded
tengu_bash_tool_command_failed	command_type,dangerously_disable_sandbox,destructive_category,destructive_target_scope,executor_shell,executor_shell_overridden,exit_code,filesystem_policy,git_destructive_target,had_sandbox_violation,interrupted,permission_mode,sandbox_enabled,sandboxed,stderr_length,stdout_length,tool_use_id
tengu_bash_tool_kill_error	stage
tengu_bash_tool_reset_to_original_dir	<no-static-fields>
tengu_bash_tool_simple_echo	<no-static-fields>
tengu_bedrock_default_check	unpinned_tiers
tengu_bedrock_default_fallback	cross_tier,default_key,fallback_key,tier
tengu_bedrock_probe_result	accessible,model_id,tier
tengu_bedrock_setup_complete	auth_method,pinned_models,verified
tengu_bedrock_setup_started	<no-static-fields>
tengu_bedrock_upgrade_accepted	from_key,tier,to_key
tengu_bedrock_upgrade_check	stale_tiers
tengu_bedrock_upgrade_declined	from_key,tier,to_key
tengu_bedrock_upgrade_relaunch	<no-static-fields>
tengu_bedrock_upgrade_save_failed	tier
tengu_began_setup	oauthEnabled
tengu_bg_adopt	adopted,dead,respawned
tengu_bg_adopt_sock_unlinked	<no-static-fields>
tengu_bg_adopt_token_lost_respawn	deferred,reason,skipped,source
tengu_bg_adopt_unverified	short
tengu_bg_adopt_upgrade_respawn	<no-static-fields>
tengu_bg_agent_action	action,agent,daemon,jobSessionId,jobState,mode,source,tempo,wasSettled,wasTerminal
tengu_bg_agent_dispatch	agent,intentLength,source
tengu_bg_agent_notification	jobSessionId,kind
tengu_bg_agent_terminal	agent,classifySource,durationMs,outcome
tengu_bg_attach	attachers,stale,state,tempo,via
tengu_bg_attach_first_frame	ack_ms,attempt,cached,gesture_id,meaningful_ms,ms,stale,state,tempo,via
tengu_bg_attach_kick	<no-static-fields>
tengu_bg_attach_legacy_autorespawn	<no-static-fields>
tengu_bg_attach_outcome	apc_detach,attach_censored,attach_cold,attach_ms,attempt,cached,content_paint_ms,daemon_booted,failure_class,first_frame_kind,gesture_id,got_ack,got_first_frame,input_accepted_ms,input_delivered_ms,journal_recovered,keys_dropped,marks_expected,meaningful_ms,ms,msgs_in_jsonl,msgs_loaded,msgs_rendered_at_first_paint,outcome,prompt_idle_ms,state,surface,synthetic,tempo,timed_out,via
tengu_bg_bridge_flush_truncated	cap_ms,via
tengu_bg_classify	branch,closingShape,durationMs,engine,minsInPrevState,newState,path,prevState,stateChanged,tailChars
tengu_bg_daemon_bg_disabled_skip	origin_service
tengu_bg_daemon_binary_takeover	daemon_age_ms,daemon_version,via_prefix,via_version
tengu_bg_daemon_cold_start_ask	<no-static-fields>
tengu_bg_daemon_cold_start_ask_answer	answer_never,answer_once,answer_yes
tengu_bg_daemon_install	clock_jump,duration_ms,fresh_install,had_stderr,outcome_ok,platform_darwin,platform_linux,platform_windows,via_service
tengu_bg_daemon_macos_aqua_wrap	has_gui
tengu_bg_daemon_service_poll_fallthrough	sr_ok
tengu_bg_daemon_service_stale_exec	launcher_dead
tengu_bg_daemon_spawn_execpath_fallback	errno_eacces,errno_enoent,probe
tengu_bg_daemon_spawn_failed	errno,errno_eacces,errno_enoent,failed_stage,launcher_configured
tengu_bg_daemon_spawn_launcher_fallback	errno_eacces,errno_enoent
tengu_bg_daemon_spawn_versions_fallback	found,probe
tengu_bg_daemon_wmi_fallback	enoent,no_powershell,rc,timeout
tengu_bg_daemon_zombie_false_positive	recheck_etimeout
tengu_bg_daemon_zombie_restart	pid,sock_exists
tengu_bg_dispatch	backend_daemon,has_agent,has_worktree,ms,source_fleet,source_respawn,source_shell,source_slash,source_spare,via
tengu_bg_dispatch_fallback	detail,ms,platform_darwin,platform_linux,platform_windows,reason_ack_timeout,reason_enoconn,reason_estarting,reason_short_alive,reason_stale_short,reason_unreachable,reason_write,source_respawn,source_spare
tengu_bg_dispatch_low_mem	free_mb,handles,pressure_level
tengu_bg_dispatch_rejected	reason
tengu_bg_dispatch_rescued	reason_ack_timeout,reason_enoconn,reason_estarting,via_redispatch
tengu_bg_dispatch_sigkill_escalate	<no-static-fields>
tengu_bg_dispatch_stale_drop	<no-static-fields>
tengu_bg_dispatch_watcher_failed	errno
